Primarystreamingservice,playlist_genre,improve_count,worsen_count,no_effect_count,total_count,improve_percentage,worsen_percentage,no_effect_percentage,track_popularity,track_artist,track_popularity.1,track_name,analysis_url
spotify,classical,17,1,7,25,68.0,4.0,28.000000000000004,75,"Ludovico Einaudi, Daniel Hope, I Virtuosi Italiani",75,Experience,https://api.spotify.com/v1/audio-analysis/1BncfTJAWxrsxyT9culBrj
spotify,country,12,0,3,15,80.0,0.0,20.0,73,Kenny Rogers,73,The Gambler,https://api.spotify.com/v1/audio-analysis/5KqldkCunQ2rWxruMEtGh0
spotify,folk,15,0,5,20,75.0,0.0,25.0,93,Gigi Perez,93,Sailor Song,https://api.spotify.com/v1/audio-analysis/2262bWmqomIaJXwCRHr13j
spotify,hip-hop,26,0,2,28,92.85714285714286,0.0,7.142857142857142,92,"The Weeknd, Playboi Carti",92,Timeless (with Playboi Carti),https://api.spotify.com/v1/audio-analysis/1Es7AUAhQvapIcoh3qMKDL
spotify,jazz,13,0,2,15,86.66666666666667,0.0,13.333333333333334,69,Nat King Cole,69,Unforgettable,https://api.spotify.com/v1/audio-analysis/648TTtYB0bH0P8Hfy0FmkL
spotify,latin,0,0,1,2,0.0,0.0,50.0,93,"Oscar Maydon, Fuerza Regida",93,Tu Boda,https://api.spotify.com/v1/audio-analysis/1cOboCuWYI2osTOfolMRS6
spotify,latin,0,0,1,2,0.0,0.0,50.0,93,KAROL G,93,Si Antes Te Hubiera Conocido,https://api.spotify.com/v1/audio-analysis/6WatFBLVB0x077xWeoVc2k
spotify,lofi,8,0,0,8,100.0,0.0,0.0,73,"Kina, Snøw",73,Get You The Moon (feat. Snøw),https://api.spotify.com/v1/audio-analysis/4ZLzoOkj0MPWrTLvooIuaa
spotify,metal,49,0,12,61,80.32786885245902,0.0,19.672131147540984,83,System Of A Down,83,Chop Suey!,https://api.spotify.com/v1/audio-analysis/2DlHlPMa4M17kufBvI2lEN
spotify,pop,52,2,14,68,76.47058823529412,2.941176470588235,20.588235294117645,100,"Lady Gaga, Bruno Mars",100,Die With A Smile,https://api.spotify.com/v1/audio-analysis/2plbrEY59IikOBgBGLjaoe
spotify,r&b,17,0,6,23,73.91304347826086,0.0,26.08695652173913,87,Frank Ocean,87,Pink + White,https://api.spotify.com/v1/audio-analysis/3xKsf9qdS1CyvXSMEid6g8
spotify,rock,82,7,29,118,69.49152542372882,5.932203389830509,24.576271186440678,89,Linkin Park,89,The Emptiness Machine,https://api.spotify.com/v1/audio-analysis/2PnlsTsOTLE5jnBnNe2K0A
